BPReturns,SPXReturns,DetrendedVol,LogVol,VIX,Volatility,months,year,Date
-0.051128174,0.073152293,0.285313419,15.21105524,19.16136355,0.000147683,July,2003,01/07/2003
0.241764261,-0.166153499,-0.148302812,14.88788642,15.5023809,0.000101111,July,2004,01/07/2004
0.272950663,0.176682663,-0.085025054,15.06205074,11.049,0.000146327,July,2005,01/07/2005
0.204770475,0.025364947,-0.200623464,15.05711932,15.3259999,0.000237742,July,2006,01/07/2006
-0.184389359,-0.154783196,-0.204363807,15.16338723,17.27333329,0.000328555,July,2007,01/07/2007
-0.564874397,-0.045037712,0.098275694,15.5769133,24.32136373,0.000741029,July,2008,01/07/2008
0.219594013,0.325099769,-0.133267062,15.45603753,26.16272727,0.000326657,July,2009,01/07/2009
1.365378397,0.316741902,1.772851955,17.47260395,25.56523781,0.001519964,July,2010,01/07/2010
0.128169059,-0.108541782,0.182358157,15.99299672,19.2274999,0.000194264,July,2011,01/07/2011
-0.075775198,0.059613737,-0.404671164,15.51685396,17.56523824,0.000212365,July,2012,01/07/2012
0.16865341,0.107507416,0.27241959,14.85913397,21.54,0.000332267,June,2000,01/06/2000
-0.326690417,-0.120733834,-0.218868843,14.47829295,20.9404761,0.000184816,June,2001,01/06/2001
-0.057109521,-0.376071751,-0.310631578,14.49522101,25.27099995,0.000275117,June,2002,01/06/2002
0.014755163,0.053612371,-0.129538585,14.78676141,20.36238071,0.000280555,June,2003,01/06/2003
0.050939506,0.08490053,-0.028326184,14.9986408,15.3571429,0.000111879,June,2004,01/06/2004
0.161692538,-0.000648747,-0.40384426,14.73400929,11.86863636,0.000120018,June,2005,01/06/2005
-0.070624004,0.000393602,-0.161892298,15.08662823,16.91863627,0.000349576,June,2006,01/06/2006
0.351270332,-0.085604493,-0.104800927,15.25372786,14.94761895,0.000184775,June,2007,01/06/2007
-0.197100338,-0.428016924,-0.033887323,15.43530845,22.11047614,0.000361336,June,2008,01/06/2008
-0.170275667,0.000890034,0.076329298,15.65597248,29.14045464,0.00047608,June,2009,01/06/2009
-1.804033602,-0.251765678,2.696729361,18.38703953,29.91636382,0.004403424,June,2010,01/06/2010
-0.195846941,-0.083755389,-0.09611952,15.70529679,19.153182,0.000281461,June,2011,01/06/2011
0.505111542,0.184727237,-0.265967481,15.6463354,21.13095229,0.000342115,June,2012,01/06/2012
0.537049126,0.401407611,0.552355169,15.11118323,22.71826074,0.001025246,March,2000,01/03/2000
0.001832567,-0.301629701,-0.100745107,14.56853036,28.49681836,0.000331294,March,2001,01/03/2001
0.34597325,0.180400537,-0.201530144,14.57621654,18.98499995,0.000105875,March,2002,01/03/2002
0.059602069,0.039632559,0.21935904,15.10799229,30.63428571,0.000426255,March,2003,01/03/2003
0.173243077,-0.071713929,0.028179545,15.02747978,17.68739126,0.000144035,March,2004,01/03/2004
-0.179956384,-0.087739823,-0.033187141,15.0765605,13.12636364,0.000233955,March,2005,01/03/2005
0.161906105,0.047976972,-0.395733147,14.82490106,11.69391304,0.000146226,March,2006,01/03/2006
0.231119611,0.04513869,-0.007359051,15.32328341,15.16272727,0.000158037,March,2007,01/03/2007
-0.336328226,-0.029887265,0.004556451,15.4458659,27.1035001,0.000614734,March,2008,01/03/2008
0.201640947,0.372512242,0.443943606,15.99592004,44.79545486,0.001251734,March,2009,01/03/2009
0.304488064,0.248403547,-0.121629161,15.54079469,17.76739122,9.41E-05,March,2010,01/03/2010
-0.40686388,-0.004555922,0.211265842,15.98479583,20.72347822,0.000268318,March,2011,01/03/2011
-0.213107209,0.14023398,-0.116603717,15.76781284,16.16727286,0.000171306,March,2012,01/03/2012
0.306914549,-0.100721601,0.493750731,15.07080371,26.37318191,0.000433876,May,2000,01/05/2000
-0.058368295,0.023078527,-0.134135003,14.55358496,22.94409091,0.00018191,May,2001,01/05/2001
0.024095026,-0.041468041,-0.519093963,14.27753637,20.08772714,0.000160514,May,2002,01/05/2002
0.396906772,0.236408153,0.062422659,14.9695004,20.23952376,0.000133952,May,2003,01/05/2003
0.009442684,0.060055141,0.006076873,15.02404118,17.7049998,0.000168917,May,2004,01/05/2004
-0.055051612,0.140534496,-0.287651554,14.84076017,13.9676191,0.000126833,May,2005,01/05/2005
-0.190130072,-0.142749677,-0.151168893,15.08769024,14.4545455,0.000392576,May,2006,01/05/2006
-0.020979443,0.145594199,-0.328391466,15.0206955,13.29772727,0.000171164,May,2007,01/05/2007
-0.01835279,0.05056007,-0.143044133,15.31692939,18.303333,0.000307979,May,2008,01/05/2008
0.767051184,0.258602885,0.170904412,15.74132535,31.97800005,0.000368571,May,2009,01/05/2009
-0.97043774,-0.427657864,1.665312203,17.34640013,31.9295,0.002124471,May,2010,01/05/2010
0.010309698,-0.064728187,0.139449168,15.93142365,16.91142871,0.000326499,May,2011,01/05/2011
-0.793064034,-0.294087764,-0.160989138,15.74187191,21.00181805,0.00033371,May,2012,01/05/2012
-0.338982551,-0.397410418,0.298613478,14.93209784,26.38285705,0.000317148,November,2000,01/11/2000
-0.429588547,0.345163238,-0.056284093,14.68611064,26.63095233,0.000406368,November,2001,01/11/2001
0.097865344,0.277502856,0.001127774,14.85396991,28.1749998,0.000391679,November,2002,01/11/2002
0.038358426,0.037385348,-0.284025372,14.67926418,17.40105268,8.87E-05,November,2003,01/11/2003
0.246909743,0.180327509,-0.223406317,14.85011106,13.57714286,0.000117068,November,2004,01/11/2004
-0.040331386,0.164672445,-0.319076253,14.86554727,12.14761905,0.000210996,November,2005,01/11/2005
0.069045236,0.077774055,-0.345605268,14.94968524,10.81761905,0.000151656,November,2006,01/11/2006
-0.331853217,-0.21448944,-0.262083456,15.14343489,25.5823809,0.000374342,November,2007,01/11/2007
-0.108059492,-0.40946504,0.346222012,15.86240734,62.63947342,0.00310485,November,2008,01/11/2008
0.049209624,0.278895385,-0.33917431,15.28745843,23.78349995,0.000174556,November,2009,01/11/2009
-0.094298108,-0.010918459,0.218507689,15.95558784,20.09571433,0.000341504,November,2010,01/11/2010
-0.068392941,-0.024150256,-0.18003185,15.66815444,31.94190462,0.000349004,November,2011,01/11/2011
-0.127141807,0.013536537,-0.494313752,15.46410037,16.70190486,0.000202762,November,2012,01/11/2012
-0.180420557,-0.022553523,0.28654384,14.91058638,25.20000009,0.00038307,October,2000,01/10/2000
-0.074018545,0.077988141,-0.225090642,14.50764268,32.72130452,0.000289149,October,2001,01/10/2001
-0.160946313,0.360497377,0.136099113,14.97949942,35.24304343,0.000889499,October,2002,01/10/2002
0.028821231,0.232627219,-0.030769426,14.92329787,18.0234783,0.000155704,October,2003,01/10/2003
0.059226471,0.0662712,-0.155587439,14.90870769,14.97380948,0.000134874,October,2004,01/10/2004
-0.30889453,-0.085238257,0.048660575,15.22406185,14.93761895,0.000382609,October,2005,01/10/2005
0.104150965,0.141008237,-0.234299628,15.05154905,11.30636364,0.000177961,October,2006,01/10/2006
0.510497695,0.063972005,-0.113505391,15.28235155,19.11565209,0.000191173,October,2007,01/10/2007
-0.040922806,-0.807115103,0.735334206,16.24229729,61.17739122,0.005572357,October,2008,01/10/2008
0.280636886,-0.09072673,0.017943111,15.6353536,24.25227282,0.000353257,October,2009,01/10/2009
-0.042989192,0.172347867,0.19358083,15.92143873,20.37333319,0.000259804,October,2010,01/10/2010
0.965765253,0.487174247,0.252017499,16.09098154,32.82904771,0.000565674,October,2011,01/10/2011
0.059210147,-0.095180202,-0.4771,15.47209187,16.27619052,0.000242088,October,2012,01/10/2012
-0.207882134,-0.274831604,0.329845084,14.94466537,19.6875,0.000218493,September,2000,01/09/2000
-0.227908653,-0.568377554,0.194876204,14.91926559,35.06533333,0.000716501,September,2001,01/09/2001
-0.797534038,-0.582805703,-0.043486282,14.7904722,37.64750045,0.001272379,September,2002,01/09/2002
0.043176377,-0.057220341,0.043997679,14.98840358,19.53238095,0.000111054,September,2003,01/09/2003
0.328064349,0.044382411,-0.151543123,14.90352976,14.08095238,0.00016002,September,2004,01/09/2004
0.168974274,0.03297615,-0.145049459,15.02112957,12.62809524,0.000134714,September,2005,01/09/2005
-0.184859856,0.121346998,-0.07823029,15.19839614,12.1845,0.000293938,September,2006,01/09/2006
0.153235438,0.185096265,-0.36559771,15.02103698,22.19894742,0.000163487,September,2007,01/09/2007
-0.66012421,-0.45324174,0.383385079,15.88068676,30.23857124,0.0015058,September,2008,01/09/2008
0.161960312,0.167143178,-0.196296538,15.41167213,24.92666686,0.000254505,September,2009,01/09/2009
0.796336407,0.3996594,0.287699153,16.0063348,22.51761886,0.000280034,September,2010,01/09/2010
-0.419287889,-0.354605243,0.31931206,16.14905385,36.52999976,0.000590745,September,2011,01/09/2011
0.037407107,0.126037468,-0.490692487,15.44971629,15.28473684,0.000158233,September,2012,01/09/2012
